Food,Capric acid,Lauric acid,Myristic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic Acid,Linolenic Acid,Stearidonic acid,Eicosenoic acid,Arachidonic acid,Eicosapentaenoic acid,Erucic acid,Docosapentaenoic acid,Docosahexaenoic acid,Butyric acid,Caproic acid,Caprylic acid,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Dietary Fiber,"Folate, DFE","Folate, food",Folate,Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,Vitamin A,Vitamin B12,"Vitamin B-12, added",Vitamin B6,Vitamin C,Vitamin D,Vitamin E,"Vitamin E, added",Vitamin K,Water,Zinc
cauliflower florets ,0.0,0.0,0.0,0.062,0.0,0.008,0.032,0.05,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.0,4.11,0,7.0,0.0,39.1,0.018,0,23.0,0.032,0.217,0.07,2.3,44.0,44.0,44.0,0,0.32,29,0,9.0,0.41,32.0,142.0,1.84,0.0,0.052,0.6,15.0,2.08,0,0.042,0.45,1.0,0.0,0.0,0.173,44.3,0.0,0.07,0.0,13.8,93.0,0.17
"blackeye peas, dried ",0.0,0.0,0.0,0.07,0.0,0.0,0.05,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.0,8.36,11,124.0,0.0,32.2,0.061,0,50.0,0.05,0.2,0.07,2.0,28.0,28.0,28.0,0,0.95,1465,0,17.0,1.119,50.0,106.0,3.27,0.0,0.065,0.1,5.0,2.01,0,0.087,0.43,11.0,0.0,0.0,0.016,0.6,0.0,0.02,0.0,15.5,87.52,0.47
"Tomatoes, large round",0.064,0.07,0.263,0.778,0.047,0.345,0.714,0.105,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.025,0.023,0.0,0,83.0,3.38,0,12.0,17.0,18.4,0.029,0,98.0,0.778,0.123,1.718,0.0,12.0,12.0,12.0,0,0.07,0,0,8.0,0.099,159.0,104.0,11.12,36.0,0.163,9.7,364.0,2.67,0,0.027,4.3,37.0,0.43,0.0,0.046,0.0,0.1,0.08,0.0,0.0,79.79,0.4
"Green beans, frozen ",0.905,8.836,3.756,3.092,0.241,4.58,1.375,0.305,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638,0.0,0,6.0,23.05,0,86.0,0.0,0.0,0.03,0,318.0,1.616,0.523,21.783,0.0,0.0,0.0,0.0,0,0.12,0,0,2.0,0.0,8.0,18.0,1.25,0.0,0.0,2.1,25.0,23.05,0,0.0,25.31,7.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,6.3,50.21,0.03
"Green peas, frozen ",0.905,8.836,3.756,3.092,0.241,4.58,1.375,0.305,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638,0.0,0,6.0,23.05,0,86.0,0.0,0.0,0.03,0,318.0,1.616,0.523,21.783,0.0,0.0,0.0,0.0,0,0.12,0,0,2.0,0.0,8.0,18.0,1.25,0.0,0.0,2.1,25.0,23.05,0,0.0,25.31,7.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,6.3,50.21,0.03
"Peaches, canned in syrup ",0.11,0.161,0.733,2.027,0.159,0.921,2.101,0.167,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.134,0.054,0.0,0,261.0,10.04,0,12.0,29.0,31.8,0.016,0,134.0,2.335,0.245,4.591,0.0,8.0,8.0,8.0,0,0.19,0,0,24.0,0.194,203.0,303.0,6.81,64.0,0.316,2.3,106.0,10.04,0,0.047,7.56,65.0,0.16,0.0,0.05,1.9,2.0,0.14,0.0,0.5,74.04,0.77
Grapes,0.0,0.0,0.003,0.098,0.0,0.013,0.014,0.079,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.0,17.15,1,59.0,0.0,5.6,0.04,0,67.0,0.014,0.102,0.114,0.9,4.0,4.0,4.0,0,0.29,72,0,5.0,0.3,10.0,191.0,0.63,0.0,0.057,0.1,2.0,16.25,0,0.092,0.35,5.0,0.0,0.0,0.11,4.0,0.0,0.19,0.0,14.6,81.3,0.04
avacado ,0.0,0.0,0.0,2.075,0.698,0.049,9.066,1.674,0.125,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,12.0,8.53,24,62.0,0.0,14.2,0.19,28,160.0,9.799,1.816,2.126,6.7,81.0,81.0,81.0,0,0.55,271,0,29.0,1.738,52.0,485.0,2.0,0.0,0.13,0.4,7.0,0.66,0,0.067,14.66,7.0,0.0,0.0,0.257,10.0,0.0,2.07,0.0,21.0,73.23,0.64
"Kale, frozen ",0.0,0.002,0.002,0.053,0.0,0.002,0.034,0.096,0.125,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,138.0,5.23,0,8823.0,0.0,0.5,0.047,0,30.0,0.036,0.235,0.063,2.0,14.0,14.0,14.0,0,0.94,19697,0,18.0,0.672,28.0,321.0,2.84,0.0,0.114,0.9,15.0,1.34,0,0.043,0.49,735.0,0.0,0.0,0.086,25.2,0.0,0.92,0.0,882.0,90.5,0.18
"Fruit cocktail, in syrup or water",0.009,0.006,0.02,0.07,0.012,0.05,0.067,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.002,0.005,0.0,0,86.0,6.66,0,0.0,7.0,17.9,0.03,0,72.0,0.079,0.003,0.169,0.0,9.0,9.0,9.0,0,0.15,0,0,11.0,0.144,190.0,137.0,10.34,2.0,0.226,9.4,372.0,1.85,0,0.023,0.29,2.0,0.46,0.0,0.016,0.0,0.0,0.01,0.0,0.0,81.01,0.47
