Food,Capric acid,Lauric acid,Myristic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic Acid,Linolenic Acid,Stearidonic acid,Eicosenoic acid,Arachidonic acid,Eicosapentaenoic acid,Erucic acid,Docosapentaenoic acid,Docosahexaenoic acid,Butyric acid,Caproic acid,Caprylic acid,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated",Dietary Fiber,"Folate, DFE","Folate, food",Folate,Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,Vitamin A,Vitamin B12,"Vitamin B-12, added",Vitamin B6,Vitamin C,Vitamin D,Vitamin E,"Vitamin E, added",Vitamin K,Water,Zinc
"Olives, canned",0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0,284.0,54.4,0,14.0,34.0,89.1,0.015,0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0,0.19,0,0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"Raspberries, frozen ",0.0,0.0,0.0,0.004,0.0,0.001,0.014,0.059,0.03,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,26.16,29,21.0,0.0,10.2,0.105,0,103.0,0.015,0.089,0.005,4.4,26.0,26.0,26.0,0,0.65,113,0,13.0,0.23,17.0,114.0,0.7,0.0,0.045,0.3,1.0,21.76,0,0.019,0.16,3.0,0.0,0.0,0.034,16.5,0.0,0.72,0.0,6.5,72.75,0.18
potato chip ,0.01,0.004,0.051,2.799,0.052,0.798,13.04,11.887,0.296,0.005,0.115,0.009,0.0,0.003,0.0,0.0,0.0,0.0,0.005,0.0,0,32.0,55.92,5,203.0,0.0,11.5,0.247,60,487.0,13.221,12.207,4.002,3.8,64.0,64.0,64.0,0,1.36,151,130,58.0,4.957,145.0,1186.0,6.51,0.0,0.119,0.4,545.0,5.47,0,0.221,31.06,20.0,0.0,0.0,0.375,62.4,0.0,4.42,0.0,16.1,2.48,0.98
"Cherries, canned ",0.0,0.0,0.001,0.016,0.0,0.005,0.027,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,8.94,0,452.0,0.0,4.1,0.07,0,36.0,0.027,0.03,0.023,1.1,8.0,8.0,8.0,0,1.37,57,0,6.0,0.177,10.0,98.0,0.77,0.0,0.041,0.0,7.0,7.6,0,0.017,0.1,38.0,0.0,0.0,0.044,2.1,0.0,0.23,0.0,1.4,89.93,0.07
ground coffee ,0.456,0.526,1.682,4.585,0.334,1.719,3.952,0.654,0.064,0.0,0.03,0.027,0.005,0.002,0.01,0.0,0.388,0.314,0.194,0.0,0,91.0,2.82,0,37.0,59.0,16.8,0.012,0,191.0,4.525,0.789,10.176,0.0,2.0,2.0,2.0,0,0.05,0,0,9.0,0.09,92.0,136.0,2.96,178.0,0.19,4.6,72.0,3.67,0,0.023,19.1,181.0,0.14,0.0,0.044,0.8,1.1,0.12,0.0,1.7,74.51,0.32
lean ground beef ,0.003,0.006,0.009,0.104,0.001,0.082,0.246,0.044,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1002.0,80.59,1,112.0,0.0,11.0,0.339,129,247.0,0.246,0.068,0.345,53.1,6.0,6.0,6.0,0,8.32,222,15,60.0,1.332,64.0,431.0,3.99,0.0,0.041,3.1,10.0,2.17,0,0.022,1.24,15.0,0.0,0.0,0.158,3.8,0.0,2.32,0.0,31.2,10.58,1.83
stew beef ,0.0,0.0,0.06,0.53,0.07,0.54,0.86,0.09,0.04,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,2.43,0,0.0,51.0,37.6,0.148,0,81.0,0.95,0.16,1.18,0.0,8.0,8.0,8.0,0,0.98,0,0,11.0,2.495,93.0,187.0,12.03,0.0,0.135,2.9,41.0,0.0,0,0.013,2.52,0.0,1.26,0.0,0.039,2.1,0.4,0.37,0.0,0.6,82.44,2.22
"asparagus, frozen",0.0,0.001,0.003,0.086,0.002,0.006,0.011,0.175,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.0,1.92,0,483.0,0.0,20.9,0.105,0,18.0,0.013,0.185,0.096,1.6,135.0,135.0,135.0,0,0.56,618,24,10.0,1.038,49.0,172.0,2.95,0.0,0.103,3.9,3.0,0.32,0,0.065,0.42,40.0,0.0,0.0,0.02,24.4,0.0,1.2,0.0,80.0,94.1,0.41
bacon,0.1,0.199,1.294,23.681,2.686,13.432,40.994,10.149,0.995,0.0,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,95.0,42.2,0.0,0,897.0,44.874,11.144,39.004,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0,0.0,99.5,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.0,0.0,0.0,0.11
"Blackberries, fresh ",0.0,0.0,0.05,2.849,0.394,0.696,5.353,0.68,0.554,0.0,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,1.35,0,13.0,852.0,263.4,0.062,12,185.0,5.747,1.672,3.595,0.0,76.0,76.0,76.0,0,3.64,442,0,16.0,0.189,208.0,210.0,13.87,185.0,0.382,36.9,138.0,0.94,0,0.147,13.27,187.0,5.1,0.0,0.236,0.0,1.7,1.29,0.0,0.4,70.43,1.33
"Plum (prunes), dried",0.0,0.0,0.0,0.007,0.001,0.001,0.065,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,18.5,33,228.0,0.0,1.1,0.061,54,69.0,0.066,0.022,0.008,2.7,1.0,1.0,0.0,0,0.35,39,0,10.0,0.525,15.0,177.0,0.6,0.0,0.075,0.5,5.0,10.97,0,0.022,0.1,23.0,0.0,0.0,0.081,0.8,0.0,0.6,0.0,15.6,80.3,0.09
"steak, round",0.0,0.0,0.0,0.02,0.001,0.008,0.03,0.08,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,3.89,101,449.0,0.0,6.7,0.059,0,18.0,0.031,0.083,0.028,1.2,15.0,15.0,15.0,0,0.27,123,2573,11.0,0.594,24.0,237.0,0.88,0.0,0.019,0.0,5.0,2.63,0,0.037,0.2,42.0,0.0,0.0,0.08,13.7,0.0,0.54,0.0,7.9,94.52,0.17
"Pineapple, dried",0.0,0.0,0.003,0.096,0.016,0.005,2.216,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1246.0,52.1,31,3407.0,0.0,97.1,1.786,175,279.0,2.232,0.328,0.115,10.4,274.0,274.0,274.0,0,42.46,2428,0,694.0,10.707,481.0,4466.0,21.93,0.0,1.5,29.3,211.0,7.27,0,1.252,4.78,293.0,0.0,0.0,0.61,566.7,0.0,1.03,0.0,1359.5,7.3,4.72
"Raspberries, fresh ",0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.0,1.45,0,14.0,884.0,263.4,0.062,12,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0,3.85,459,0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Figs, dried ",0.0,0.0,0.006,0.11,0.001,0.029,0.158,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,162.0,63.87,0,6.0,0.0,15.8,0.287,0,249.0,0.159,0.345,0.144,9.8,9.0,9.0,9.0,0,2.03,32,0,68.0,0.619,67.0,680.0,3.3,0.0,0.082,0.6,10.0,47.92,0,0.085,0.93,0.0,0.0,0.0,0.106,1.2,0.0,0.35,0.0,15.6,30.05,0.55
"Papaya, dried",0.145,0.162,0.581,1.52,0.129,0.7,1.454,0.131,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.111,0.065,0.0,0,1184.0,49.0,0,9.0,69.0,118.7,0.111,0,387.0,1.669,0.215,3.598,0.0,47.0,47.0,47.0,0,0.3,0,0,110.0,0.876,933.0,1592.0,34.3,48.0,1.579,20.3,517.0,49.0,0,0.392,5.78,49.0,3.82,0.0,0.338,5.7,0.5,0.1,0.0,0.4,2.97,4.02
"Apricots, dried",0.0,0.0,0.0,0.017,0.0,0.0,0.074,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55.0,62.64,0,2163.0,0.0,13.9,0.343,0,241.0,0.074,0.074,0.017,7.3,10.0,10.0,10.0,0,2.66,0,0,32.0,2.589,71.0,1162.0,3.39,0.0,0.074,2.2,10.0,53.44,0,0.015,0.51,180.0,0.0,0.0,0.143,1.0,0.0,4.33,0.0,3.1,30.89,0.39
"Mangoes, dried",0.145,0.162,0.581,1.52,0.129,0.7,1.454,0.131,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.111,0.065,0.0,0,1184.0,49.0,0,9.0,69.0,118.7,0.111,0,387.0,1.669,0.215,3.598,0.0,47.0,47.0,47.0,0,0.3,0,0,110.0,0.876,933.0,1592.0,34.3,48.0,1.579,20.3,517.0,49.0,0,0.392,5.78,49.0,3.82,0.0,0.338,5.7,0.5,0.1,0.0,0.4,2.97,4.02
"steak, sirloin",0.008,0.008,0.178,1.682,0.211,0.736,2.257,0.152,0.059,0.0,0.008,0.034,0.002,0.0,0.011,0.001,0.0,0.0,0.0,0.0,0,28.0,0.0,0,0.0,69.0,90.7,0.072,0,149.0,2.477,0.259,2.612,0.0,13.0,13.0,13.0,0,1.62,0,0,23.0,7.353,204.0,340.0,21.72,0.0,0.106,25.4,57.0,0.0,0,0.06,6.29,0.0,1.18,0.0,0.596,0.0,0.1,0.31,0.0,1.2,68.72,4.12
"ice cream, regular, bulk ",0.868,1.004,3.275,9.405,0.651,3.365,7.776,1.212,0.131,0.001,0.064,0.053,0.01,0.002,0.02,0.0,0.718,0.592,0.366,0.0,0,97.0,5.52,1,59.0,101.0,27.2,0.018,2,350.0,8.907,1.483,20.213,0.0,9.0,9.0,9.0,0,0.11,7,0,9.0,0.091,107.0,132.0,6.15,303.0,0.23,8.6,314.0,3.76,0,0.023,34.44,308.0,0.22,0.0,0.056,0.0,0.0,0.86,0.0,2.1,52.62,0.5
"Orange, frozen juice concentrate",0.018,0.009,0.071,0.241,0.018,0.104,0.187,0.021,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.009,0.009,0.0,0,159.0,19.7,0,8.0,4.0,3.1,0.203,0,104.0,0.205,0.03,0.488,2.0,12.0,12.0,12.0,0,0.04,0,0,40.0,0.2,129.0,339.0,4.4,1.0,0.18,2.8,81.0,12.61,0,0.04,0.8,2.0,0.49,0.0,0.04,0.7,0.0,0.08,0.0,0.3,73.5,0.49
