Food,Quantity,Units,Price,Year,FCD_id,FDC_match,FDC_type
"Fruit cocktail, in syrup or water",1.0,pound,2.312737347,2023,9257,,
Grapefruit,1.0,pound ,1.395775718,2023,2709165,,
"Grapefruit, juice",16.0,oz,1.21936719,2023,167774,,
Grapes,1.0,pound,2.248436594,2023,9123,,
raisins,1.0,pound ,4.328343983,2023,2709212,,
Grape juice ,16.0,oz,1.153972604,2023,2709325,,
"Grapes, frozen juice concentrate",16.0,oz,3.295747122,2023,9220,,
Honeydew,1.0,pound,1.250052787,2023,2710816,,
Kiwi,1.0,pound ,2.834707401,2023,2709239,,
"Mangoes, fresh ",1.0,pound,1.458675758,2023,9143,,
"Mangoes, dried",1.0,pound ,10.10968525,2023,169091,,
Nectarines,1.0,pound,2.475306142,2023,327357,,
Oranges,1.0,pound ,1.439704016,2023,9205,,
Orange juice,16.0,oz,1.154882364,2023,2098640,,
"Orange, frozen juice concentrate",16.0,oz,3.401422791,2023,169923,,
"Papaya, fresh ",1.0,pound,1.305512939,2023,169926,,
"Papaya, dried",1.0,pound ,8.174637154,2023,9305,,
"Peaches, fresh ",1.0,pound,2.457099438,2023,9136,,
"Peach, canned in juice",1.0,pound ,2.486758071,2023,169930,,
"Peaches, canned in syrup ",1.0,pound,2.211851186,2023,168181,,
"Peaches, frozen ",1.0,pound ,3.759783663,2023,169116,,
"Pears, fresh ",1.0,pound,1.916739424,2023,169118,,
"Pears, canned in juice",1.0,pound ,2.329038064,2023,169936,,
"Pears, canned in syrup ",1.0,pound,2.316963272,2023,168182,,
"Pineapple, fresh ",1.0,pound ,0.668427034,2023,9212,,
"Pineapple, canned in juice",1.0,pound ,1.721465817,2023,167767,,
"Pineapple, canned in syrup",1.0,pound,1.82757447,2023,169944,,
"Pineapple, dried",1.0,pound ,7.947966878,2023,2709210,,
Pineapple juice,16.0,oz,1.374156691,2023,2009746,,
"Pineapple, frozen juice concentrate",16.0,oz,3.039046885,2023,169948,,
"Plum, fresh ",1.0,pound,2.658223036,2023,169949,,
"Plum (prunes), dried",1.0,pound ,6.906399803,2023,168162,,
Plum (prune) juice ,16.0,oz,1.794818097,2023,9288,,
"Pomegranate, fresh ",1.0,pound ,2.475577389,2023,169134,,
Pomegranate juice,16.0,oz,3.187428646,2023,167787,,
"Raspberries, fresh ",1.0,pound ,7.966754529,2023,9216,,
"Raspberries, frozen ",1.0,pound,6.209611042,2023,167757,,
"Strawberries, fresh ",1.0,pound ,3.078734363,2023,9209,,
"Strawberries, frozen ",1.0,pound,3.46750705,2023,168174,,
Watermelon,1.0,pound ,0.405825415,2023,2193119,,
